,label,ArtsName,OverAttackFirst,OverAttackLast,BaseArts,AdditionalArts,Sequence,ArtsCategory,PlayerUse,EnemyUse,Weapon,WeaponSub,Attribute1,Attribute2,TargetParty,TargetType,Attack,AttackCount,BP,Turn,Hit,Speed,AfterCasterSpeed,AfterTargetSpeed,Bump,Hate,Random,BaseParameter1,BaseParameter2,BaseElement,EffectType1,EffectType2,EffectType3,EffectType4,EffectParam1,EffectParam2,EffectParam3,EffectParam4,AddEffect1,AddEffect2,AddEffectParam1,AddEffectParam2,HitArea,SureHit,Penetration,BeforeGuard,AfterGuard,RaceSlayer,ReserveCancel,ReserveType,ReserveProb,DisableSelect,OverAttack,OverAttackLeft,OverAttackSelf,OverAttackRight,AddOverAttackDamage,AddSingleStageDamage
10,OHS_WLLSW_B04,無月散水,無月,散水,無月散水,–,WLLSW_B04,武器技,1,1,片手剣,長剣,斬,–,敵,単体,47,1,5,0,95,-2,5,3,0,27,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,2,1,0,23,14
11,OHS_WLRAP_A01,氷雪刻,氷雪,刻,氷雪刻,–,WLRAP_A01,武器技,1,1,片手剣,細剣,突,冷,敵,単体,25,1,2,0,98,-1,0,0,0,21,0,運,体,–,ヘイト消去,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,1,1,0,20,11
12,OHS_WLRAP_A02,感電衝,感電,衝,感電衝,–,WLRAP_A02,武器技,1,1,片手剣,細剣,突,雷,敵,単体,28,1,3,0,98,-2,0,0,0,22,0,運,体,–,マヒ,–,–,–,25,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,0,21,12
13,OHS_WLRAP_B01,円舞剣,円舞,円舞,円舞剣,–,WLRAP_B01,武器技,1,1,片手剣,細剣,突,–,敵,全体,20,1,4,0,98,-3,0,0,0,20,0,運,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,1,1,1,22,13
14,OHS_WLRAP_B02,乱れ突き,乱れ,突き,乱れ突き,–,WLRAP_B02,武器技,1,0,片手剣,細剣,突,–,敵,単体,45,1,5,0,98,2,0,0,0,26,10,運,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,2,23,14
15,OHS_WLDAG_A01,毒蜂,毒,蜂,毒蜂,–,WLDAG_A01,武器技,1,1,片手剣,短剣,突,–,敵,単体,24,1,2,0,95,1,0,0,0,5,0,技,体,–,毒,–,–,–,50,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,0,20,11
16,OHS_WLDAG_B01,落月破斬［1］,落月,破斬,落月破斬［1］,–,WLDAG_B01,武器技,1,1,片手剣,短剣,斬,–,敵,単体,31,1,3,0,95,2,0,0,0,6,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,1,–,0,0,1,0,1,1,21,12
17,OHS_WLDAG_B02,バックスタッブ,バック,スタッブ,バックスタッブ,–,WLDAG_B02,武器技,1,1,片手剣,短剣,突,–,敵,単体,36,1,4,0,95,-2,0,0,0,6,0,運,体,–,即死,–,–,–,25,0,0,0,–,–,0,0,–,0,0,0,0,–,0,チェイス,100,0,1,0,0,0,22,13
18,OHS_WLDAG_B03,変幻自在,変幻,自在,変幻自在,–,WLDAG_B03,武器技,1,1,片手剣,短剣,斬,–,敵,単体,67,1,5,0,95,-1,0,0,0,8,0,技,体,–,スタン,ガード不可,–,–,50,100,0,0,–,–,0,0,–,0,0,0,0,–,0,突インタラプト,100,0,1,0,1,0,23,7
19,OHS_WLAXE_A01,マキ割りインパクト,マキ,インパクト,マキ割りインパクト,–,WLAXE_A01,武器技,1,1,片手剣,斧,斬,–,敵,単体,34,1,3,0,94,-2,3,3,0,24,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,植物,0,–,0,0,1,0,1,0,21,12
20,OHS_WLAXE_B01,地獄断面,地獄,断面,地獄断面,–,WLAXE_B01,武器技,1,1,片手剣,斧,斬,–,敵,単体,66,1,4,0,94,0,4,3,0,32,0,技,体,–,ガード不可,–,–,–,100,0,0,0,–,–,0,0,–,0,0,0,0,–,0,打インタラプト,100,0,1,0,1,0,22,6
21,OHS_WLAXE_B02,富岳八景,富岳,八景,富岳八景,–,WLAXE_B02,武器技,1,1,片手剣,斧,斬,打,敵,単体,46,1,5,0,94,-3,5,3,0,26,0,筋,体,–,詠唱延長,–,–,–,50,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,2,1,0,23,14
22,OHS_WLAXE_B03,高速ナブラ,高速,ナブラ,高速ナブラ,–,WLAXE_B03,武器技,1,1,片手剣,斧,斬,–,敵,単体,53,1,6,0,94,4,6,4,0,28,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,2,24,15
23,OHS_WLTSW_A01,二刀双破,二刀,双破,二刀双破,–,WLTSW_A01,武器技,1,0,片手剣,二刀,斬,突,敵,単体,51,1,5,0,98,-1,10,5,0,28,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,2,1,0,26,14
24,OHS_WLTSW_B01,二刀烈風剣,二刀,烈風剣,二刀烈風剣,–,WLTSW_B01,武器技,1,0,片手剣,二刀,斬,–,敵,乱撃,71,4,6,0,98,-2,12,6,0,8,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,3,1,0,27,15
25,OHS_WLTSW_B02,二刀荒時雨,二刀,荒時雨,二刀荒時雨,–,WLTSW_B02,武器技,1,0,片手剣,二刀,斬,突,敵,単体,90,1,6,0,98,-3,12,6,0,38,0,技,体,–,ガード不可,–,–,–,100,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,斬インタラプト,100,0,1,0,1,0,27,8
26,THS_WH000_A01,強撃,強,撃,強撃,–,WH000_A01,武器技,1,1,両手剣,汎用両手剣,斬,打,敵,単体,32,1,2,0,89,0,4,3,0,40,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,1,1,0,10,24
27,THS_WH000_A02,流し斬り［1］,流し,斬り,流し斬り［1］,–,WH000_A02,武器技,1,1,両手剣,汎用両手剣,斬,–,敵,単体,37,1,3,0,89,1,6,4,0,42,0,筋,体,–,攻撃力,–,–,–,-10,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,1,11,25
28,THS_WH000_PROTECT,ディフレクト,ディフ,レクト,ディフレクト,–,WH000_A03,武器技,1,0,両手剣,汎用両手剣,–,–,味方,他者,60,1,3,0,0,0,0,0,0,0,0,–,–,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,プロテクト,100,1,0,0,0,0,11,25
29,THS_WH000_A04,かぶと割り,かぶ,割り,かぶと割り,–,WH000_A04,武器技,1,1,両手剣,汎用両手剣,斬,打,敵,単体,42,1,4,0,89,-1,8,4,0,46,0,筋,体,–,防御力,–,–,–,-10,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,2,1,0,12,26
30,THS_WH000_B01,払車剣,払車,剣,払車剣,–,WH000_B01,武器技,1,1,両手剣,汎用両手剣,斬,–,敵,全体,32,1,6,0,89,-2,12,6,0,40,0,筋,集,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,1,1,1,14,28
31,THS_WH000_B01_A,払車剣・余喘,余,喘ぐ,払車剣・余喘,–,WH000_B01,武器技,1,1,両手剣,汎用両手剣,斬,–,敵,全体,11,1,2,0,49,-3,4,3,0,19,0,筋,集,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,1,1,1,20,34
32,THS_WHGSW_A01,ブルクラッシュ,ブル,クラッシュ,ブルクラッシュ,–,WHGSW_A01,武器技,1,1,両手剣,大剣,斬,打,敵,単体,40,1,3,0,88,-2,6,4,1,44,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,1,1,0,11,25
33,THS_WHGSW_A01_A,ブルガード,ブル,ガード,ブルガード,–,WHGSW_A01,武器技,1,1,両手剣,大剣,斬,打,敵,単体,46,1,4,0,88,-5,8,4,1,46,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,1,0,–,0,–,0,0,1,1,1,0,12,26
34,THS_WHGSW_B01,雷殺斬,雷殺,斬,雷殺斬,–,WHGSW_B01,武器技,1,1,両手剣,大剣,斬,雷,敵,単体,47,1,4,0,89,2,8,4,0,47,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,1,12,26
35,THS_WHGSW_B02,アプゼッツェン,アプ,ゼッツェン,アプゼッツェン,–,WHGSW_B02,武器技,1,1,両手剣,大剣,突,–,敵,単体,52,1,5,0,89,-2,10,5,0,49,0,筋,体,–,挑発,–,–,–,100,0,0,0,–,–,0,0,–,0,0,1,0,–,0,–,0,0,1,2,1,0,13,27
36,THS_WHGSW_B03,アッパースマッシュ,アッパー,スマッシュ,アッパースマッシュ,–,WHGSW_B03,武器技,1,0,両手剣,大剣,打,–,敵,単体,62,1,6,0,88,1,12,6,1,52,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,1,14,28
37,THS_WHGSW_B04,ヴァンダライズ,ヴァン,ライズ,ヴァンダライズ,–,WHGSW_B04,武器技,1,0,両手剣,大剣,打,–,敵,単体,68,1,7,0,89,-3,14,6,0,56,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,3,1,0,15,29
38,THS_WHSSW_A01,かすみ青眼,かすみ,青眼,かすみ青眼,–,WHSSW_A01,武器技,1,1,両手剣,刀,斬,–,敵,単体,65,1,3,0,100,-2,6,4,0,54,0,技,体,–,ガード不可,–,–,–,100,0,0,0,–,–,0,0,–,1,0,0,0,魔族,0,カウンター,80,0,1,0,1,0,11,5
39,THS_WHSSW_B01,地走り,地,走り,地走り,–,WHSSW_B01,武器技,1,1,両手剣,刀,斬,–,敵,単体,49,1,4,0,89,2,8,4,0,47,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対地,0,0,0,0,–,1,–,0,0,1,0,1,2,12,26
40,THS_WHSSW_B02,燕返し,燕,返し,燕返し,–,WHSSW_B02,武器技,1,1,両手剣,刀,斬,–,敵,単体,82,1,5,0,89,-3,10,5,0,63,0,技,体,–,スタン,ガード不可,–,–,50,100,0,0,–,–,0,0,対空,0,0,0,0,–,0,斬インタラプト,100,0,1,0,1,0,13,7
41,THS_WHSSW_B03,無拍子,無,拍子,無拍子,–,WHSSW_B03,武器技,1,1,両手剣,刀,斬,–,敵,単体,62,1,6,0,89,0,12,6,0,52,0,運,体,–,ガード不可,–,–,–,100,0,0,0,–,–,0,0,–,1,0,0,0,–,0,–,0,0,1,0,0,0,14,28
42,THS_WHSSW_B04,乱れ雪月花［1］,乱れ,雪月花,乱れ雪月花［1］,–,WHSSW_B04,武器技,1,1,両手剣,刀,斬,冷,敵,単体,65,1,7,0,89,-2,14,6,0,54,0,筋,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,1,0,–,0,–,0,0,1,2,1,2,15,29
43,THS_WHPSW_A01,エイミング,エイ,ミング,エイミング,–,WHPSW_A01,武器技,1,1,両手剣,薙刀,突,–,敵,単体,31,1,2,0,100,-2,4,3,0,40,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,2,1,0,10,24
44,THS_WHPSW_B01,乱調子,乱,調子,乱調子,–,WHPSW_B01,武器技,1,1,両手剣,薙刀,斬,–,敵,単体,40,1,3,0,92,-1,6,4,0,44,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,2,1,0,11,25
45,THS_WHPSW_B02,流星衝,流星,衝,流星衝,–,WHPSW_B02,武器技,1,0,両手剣,薙刀,突,–,敵,単体,42,1,4,0,92,2,8,4,0,46,0,技,体,–,マヒ,–,–,–,25,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,–,0,0,1,0,1,2,12,26
46,THS_WHPSW_B02_A,追走二重星,追走,二重星,追走二重星,–,WHPSW_B02,武器技,1,1,両手剣,薙刀,突,–,敵,他者,35,1,3,0,92,-3,6,4,0,42,0,運,体,–,マヒ,–,–,–,25,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,フォロー,100,0,1,0,0,0,11,25
47,THS_WHPSW_B03,ラウンドスライサー,ラウンド,スライサー,ラウンドスライサー,–,WHPSW_B03,武器技,1,1,両手剣,薙刀,斬,–,敵,単体,54,1,5,0,92,-2,10,5,0,49,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,1,1,1,13,27
48,THS_WHPSW_B04,無双三段,無双,三段,無双三段,–,WHPSW_B04,武器技,1,0,両手剣,薙刀,斬,打,敵,単体,56,1,6,0,92,3,12,6,0,51,0,技,体,–,スタン,–,–,–,50,0,0,0,–,–,0,0,–,0,0,0,0,–,0,–,0,0,1,0,1,3,14,28
49,OHG_GL000_A01,精密射撃,精密,射撃,精密射撃,–,GL000_A01,武器技,1,1,片手銃,片手銃,突,–,敵,単体,21,1,1,0,97,0,0,0,0,20,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,–,0,0,1,0,1,0,19,10
50,OHG_GL000_A02,反応威嚇,反応,威嚇,反応威嚇,–,GL000_A02,武器技,1,1,片手銃,片手銃,突,–,敵,単体,44,1,2,0,92,-1,0,0,0,26,0,技,体,–,ガード不可,–,–,–,100,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,打インタラプト,100,0,1,0,1,0,20,4
51,OHG_GL000_A04,早撃ち,早,撃ち,早撃ち,–,GL000_A04,武器技,1,1,片手銃,片手銃,突,–,敵,単体,44,1,2,0,92,2,0,0,0,26,0,技,体,–,ガード不可,–,–,–,100,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,突インタラプト,100,0,1,0,1,0,20,4
52,OHG_GL000_A05,地上掃射,地上,掃射,地上掃射,–,GL000_A05,武器技,1,1,片手銃,片手銃,突,–,敵,単体,27,1,2,0,92,-1,0,0,0,22,0,技,体,–,スタン,–,–,–,50,0,0,0,–,–,0,0,対地,0,0,0,0,–,1,–,0,0,1,1,1,1,20,11
53,OHG_GL000_B01,援護射撃,援護,射撃,援護射撃,–,GL000_B01,武器技,1,0,片手銃,片手銃,突,–,敵,他者,29,1,2,0,92,1,0,0,0,22,0,運,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,フォロー,100,0,1,0,0,0,9,11
54,OHG_GL000_B04,剣よりも強し,剣よりも,強し,剣よりも強し,–,GL000_B04,武器技,1,1,片手銃,片手銃,突,–,敵,単体,49,1,3,0,92,-1,0,0,0,27,0,技,体,–,攻撃力,ガード不可,–,–,-10,100,0,0,–,–,0,0,対空,0,0,0,0,–,0,斬インタラプト,100,0,1,0,1,0,21,5
55,OHG_GL000_B05,ワンホールワン,ワン,ワン,ワンホールワン,–,GL000_B05,武器技,1,1,片手銃,片手銃,突,–,敵,単体,27,1,3,0,92,2,0,0,0,22,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,1,0,0,–,1,–,0,0,1,0,1,0,21,12
56,OHG_GL000_B06,曲撃ち,曲,撃ち,曲撃ち,–,GL000_B06,武器技,1,1,片手銃,片手銃,突,–,敵,単体,40,1,4,0,92,3,0,0,0,25,0,技,体,–,詠唱延長,–,–,–,50,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,–,0,0,1,0,1,0,22,13
57,OHG_GL000_B08,跳弾,跳,弾,跳弾,–,GL000_B08,武器技,1,1,片手銃,片手銃,突,–,敵,単体,44,1,5,0,100,1,0,0,0,26,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,–,0,0,1,1,1,1,23,14
58,OHG_GLTWO_A01,スウィッチ,スイ,ッチ,スウィッチ,–,GLTWO_A01,武器技,1,1,片手銃,二丁拳銃,突,–,敵,乱撃,60,2,5,0,95,0,10,5,0,15,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,–,0,0,1,0,1,0,26,14
59,OHG_GLTWO_A02,二丁乱射,二丁,乱射,二丁乱射,–,GLTWO_A02,武器技,1,1,片手銃,二丁拳銃,突,–,敵,全体,25,1,4,0,95,1,8,4,0,21,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,1,1,1,25,13
60,OHG_GLTWO_B01,デスパレート,デス,レート,デスパレート,–,GLTWO_B01,武器技,1,1,片手銃,二丁拳銃,突,–,敵,全体,31,1,6,0,95,-1,12,6,0,23,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,3,1,0,27,15
61,OHG_SG000_B01,クロスファイア,クロス,ファイア,クロスファイア,–,SG000_B01,武器技,1,0,片手銃,剣×銃,斬,突,敵,単体,49,1,5,0,98,0,10,5,0,27,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,魔族,0,–,0,0,1,1,1,1,27,15
62,OHG_SG000_B02,アセンション,アセ,ション,アセンション,–,SG000_B02,武器技,1,0,片手銃,剣×銃,斬,突,敵,単体,43,1,4,0,98,1,8,4,0,26,0,技,体,–,スタン,–,–,–,50,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,0,1,2,25,13
63,OHG_SG000_B03,ミリオンダラー,ミリ,ダラー,ミリオンダラー,–,SG000_B03,武器技,1,0,片手銃,剣×銃,打,–,敵,乱撃,71,6,6,0,98,-1,12,6,0,6,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,3,1,0,27,15
64,THG_GH000_A01,散弾,散,弾,散弾,–,GH000_A01,武器技,1,1,両手銃,汎用両手銃,打,–,敵,単体,44,1,3,0,86,0,6,4,0,46,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,–,0,0,1,1,1,1,5,27
65,THG_GH000_A02,グランドヒット,グランド,ヒット,グランドヒット,–,GH000_A02,武器技,1,1,両手銃,汎用両手銃,打,–,敵,単体,41,1,3,0,86,-2,6,4,0,44,0,技,体,–,すばやさ,–,–,–,-8,0,0,0,–,–,0,0,対地,0,0,0,0,–,1,–,0,0,1,2,1,0,5,27
66,THG_GH000_A03,サンライトシャワー,サン,シャワー,サンライトシャワー,–,GH000_A03,武器技,1,0,両手銃,汎用両手銃,打,–,敵,単体,50,1,4,0,86,-1,8,4,0,49,0,技,体,–,挑発,–,–,–,100,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,–,0,0,1,1,1,1,6,28
67,THG_GH000_A04,チェストバスター,チェスト,バスター,チェストバスター,–,GH000_A04,武器技,1,1,両手銃,汎用両手銃,打,–,敵,単体,55,1,5,0,86,-3,10,5,0,51,0,技,体,–,防御力,–,–,–,-10,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,–,0,0,1,2,1,0,7,29
68,THG_GH000_B02,面制圧,面,制圧,面制圧,–,GH000_B02,武器技,1,1,両手銃,汎用両手銃,打,–,敵,全体,32,1,6,0,86,-1,12,6,0,40,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,2,1,2,8,30
69,THG_GHMAC_A01,ガトリングカッター,ガト,カッター,ガトリングカッター,–,GHMAC_A01,武器技,1,0,両手銃,機関銃,斬,–,敵,単体,44,1,3,0,86,1,6,4,0,46,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,–,0,0,1,0,1,2,5,27
70,THG_GHMAC_B01,弾幕砲火,弾幕,砲火,弾幕砲火,–,GHMAC_B01,武器技,1,0,両手銃,機関銃,突,–,敵,全体,25,1,4,0,86,0,8,4,0,37,0,技,体,–,暗闇,–,–,–,50,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,1,1,1,6,28
71,THG_GHMAC_B02,鉛の嵐,鉛の,嵐,鉛の嵐,–,GHMAC_B02,武器技,1,0,両手銃,機関銃,突,–,敵,乱撃,73,6,5,0,86,2,10,5,0,10,0,技,体,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,1,–,0,0,1,0,1,2,7,29
72,THG_GHFLA_A01,フレイムマーチ,フレイム,マーチ,フレイムマーチ,–,GHFLA_A01,武器技,1,1,両手銃,火炎放射器,熱,–,敵,単体,44,1,3,0,86,1,6,4,0,46,0,技,集,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,1,1,1,5,27
73,THG_GHFLA_B01,ファイアボール,ファイア,ボール,ファイアボール,–,GHFLA_B01,武器技,1,0,両手銃,火炎放射器,熱,–,敵,単体,52,1,4,0,86,-2,8,4,0,49,0,技,集,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,1,1,0,6,28
74,THG_GHFLA_B02,焼き尽くす,焼き,尽くす,焼き尽くす,–,GHFLA_B02,武器技,1,1,両手銃,火炎放射器,熱,–,敵,単体,65,1,6,0,86,-4,12,6,0,54,0,技,集,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,2,1,0,8,30
75,THG_GHELE_A01,磁気嵐,磁気,嵐,磁気嵐,–,GHELE_A01,武器技,1,0,両手銃,電撃銃,雷,–,敵,全体,22,1,3,0,86,1,6,4,0,35,0,技,集,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,メカ,0,–,0,0,1,0,1,3,5,27
76,THG_GHELE_A02,スタンショック,スタン,ショック,スタンショック,–,GHELE_A02,武器技,1,0,両手銃,電撃銃,雷,–,敵,単体,49,1,4,0,86,-1,8,4,0,47,0,技,集,–,スタン,–,–,–,50,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,2,1,0,6,28
77,THG_GHELE_B01,プラズマショット,プラ,ショット,プラズマショット,–,GHELE_B01,武器技,1,0,両手銃,電撃銃,雷,–,敵,単体,60,1,6,0,86,-2,12,6,0,52,0,技,集,–,マヒ,–,–,–,50,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,3,1,0,8,30
78,THG_GHBOM_A01,グランドスラム,グラ,スラム,グランドスラム,–,GHBOM_A01,武器技,1,1,両手銃,爆撃銃,打,–,敵,全体,25,1,3,0,86,-2,6,4,0,37,0,技,集,–,–,–,–,–,0,0,0,0,–,–,0,0,対地,0,0,0,0,–,0,–,0,0,1,1,1,1,5,27
79,THG_GHBOM_B01,シェルターブレイク,シェル,ブレイク,シェルターブレイク,–,GHBOM_B01,武器技,1,0,両手銃,爆撃銃,熱,–,敵,単体,48,1,4,0,86,-3,8,4,0,47,0,技,集,–,防御力,–,–,–,-10,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,2,1,0,6,28
80,THG_GHBOM_B02,デイジーカッター,デイジー,カッター,デイジーカッター,–,GHBOM_B02,武器技,1,1,両手銃,爆撃銃,熱,–,敵,全体,36,1,6,0,86,-4,12,6,0,42,0,技,集,–,–,–,–,–,0,0,0,0,–,–,0,0,対空,0,0,0,0,–,0,–,0,0,1,1,1,1,8,30
