,label,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9
38,GLTWO_B01,1,0,0,0,0,0,0,0,0
39,M000_A01a,1,0,0,0,0,0,0,0,0
40,M000_A02a,1,0,0,0,0,0,0,0,0
41,M000_A03a,1,0,0,0,0,0,0,0,0
42,M000_A04a,1,0,0,0,0,0,0,0,0
43,M000_A05a,1,0,0,0,0,0,0,0,0
44,M001_A02a,1,0,0,0,0,0,0,0,0
45,M001_A03a,1,0,0,0,0,0,0,0,0
46,M001_A04a,1,0,0,0,0,0,0,0,0
47,M001_B01a,1,0,0,0,0,0,0,0,0
48,M002_A01a,1,0,0,0,0,0,0,0,0
49,M002_A02a,1,0,0,0,0,0,0,0,0
50,M002_A03a,1,0,0,0,0,0,0,0,0
51,M002_A04a,1,0,0,0,0,0,0,0,0
52,M002_A05a,1,0,0,0,0,0,0,0,0
53,M004_A01a,1,0,0,0,0,0,0,0,0
54,M010_A01a,1,0,0,0,0,0,0,0,0
55,M010_A02a,1,0,0,0,0,0,0,0,0
56,M010_A04a,1,0,0,0,0,0,0,0,0
57,M010_B01a,1,0,0,0,0,0,0,0,0
58,M010_B01b,1,0,0,0,0,0,0,0,0
59,M010_B02a,0.25,0.15,0.14,0.16,0.3,0,0,0,0
60,M011_A01a,1,0,0,0,0,0,0,0,0
61,M011_B01a,1,0,0,0,0,0,0,0,0
62,M011_B01b,1,0,0,0,0,0,0,0,0
63,M011_B01c,1,0,0,0,0,0,0,0,0
64,M011_B01d,1,0,0,0,0,0,0,0,0
65,M011_B01e,1,0,0,0,0,0,0,0,0
66,M011_B02a,1,0,0,0,0,0,0,0,0
67,M011_B03a,1,0,0,0,0,0,0,0,0
68,M011_B04a,1,0,0,0,0,0,0,0,0
69,M011_B05a,1,0,0,0,0,0,0,0,0
70,M012_A01a,1,0,0,0,0,0,0,0,0
71,M012_A02a,1,0,0,0,0,0,0,0,0
72,M012_A03a,1,0,0,0,0,0,0,0,0
73,M012_A04a,1,0,0,0,0,0,0,0,0
74,M012_B01a,1,0,0,0,0,0,0,0,0
75,M021_A01a,1,0,0,0,0,0,0,0,0
76,M021_A02a,1,0,0,0,0,0,0,0,0
77,M021_A03a,1,0,0,0,0,0,0,0,0
78,M021_A04a,1,0,0,0,0,0,0,0,0
79,M021_A05a,1,0,0,0,0,0,0,0,0
80,M021_B01a,1,0,0,0,0,0,0,0,0
81,M021_B02a,1,0,0,0,0,0,0,0,0
82,M022_A01a,1,0,0,0,0,0,0,0,0
83,M022_A02a,1,0,0,0,0,0,0,0,0
84,M022_A03a,1,0,0,0,0,0,0,0,0
85,M022_B01a,1,0,0,0,0,0,0,0,0
86,M022_B02a,1,0,0,0,0,0,0,0,0
87,M023_A01a,1,0,0,0,0,0,0,0,0
88,M023_A02a,1,0,0,0,0,0,0,0,0
89,M023_A03a,1,0,0,0,0,0,0,0,0
90,M023_A04a,1,0,0,0,0,0,0,0,0
91,M023_B01a,1,0,0,0,0,0,0,0,0
92,M030_A01a,1,0,0,0,0,0,0,0,0
93,M030_A02a,1,0,0,0,0,0,0,0,0
94,M030_A03a,0.35,0.65,0,0,0,0,0,0,0
95,M030_A04a,0.35,0.65,0,0,0,0,0,0,0
96,M030_A05a,1,0,0,0,0,0,0,0,0
97,M031_A01a,1,0,0,0,0,0,0,0,0
98,M031_A02a,1,0,0,0,0,0,0,0,0
99,M031_A03a,1,0,0,0,0,0,0,0,0
100,M031_A04a,1,0,0,0,0,0,0,0,0
101,M031_B01a,1,0,0,0,0,0,0,0,0
102,M032_A01a,1,0,0,0,0,0,0,0,0
103,M032_A02a,1,0,0,0,0,0,0,0,0
104,M032_B01a,0.2,0.3,0.5,0,0,0,0,0,0
105,M032_B02a,1,0,0,0,0,0,0,0,0
106,M032_B03a,1,0,0,0,0,0,0,0,0
107,M040_A01a,1,0,0,0,0,0,0,0,0
108,M040_A02a,1,0,0,0,0,0,0,0,0
109,M040_A03a,1,0,0,0,0,0,0,0,0
110,M040_A04a,0.4,0.6,0,0,0,0,0,0,0
111,M040_A04b,0.4,0.6,0,0,0,0,0,0,0
112,M040_A05a,1,0,0,0,0,0,0,0,0
113,M040_B01a,1,0,0,0,0,0,0,0,0
114,M040_B02a,1,0,0,0,0,0,0,0,0
115,M041_A01a,1,0,0,0,0,0,0,0,0
116,M041_A02a,1,0,0,0,0,0,0,0,0
117,M041_B01a,1,0,0,0,0,0,0,0,0
118,M041_B02a,1,0,0,0,0,0,0,0,0
119,M041_B03a,1,0,0,0,0,0,0,0,0
120,M042_A01a,1,0,0,0,0,0,0,0,0
121,M042_A02a,1,0,0,0,0,0,0,0,0
122,M042_A02b,1,0,0,0,0,0,0,0,0
123,M042_A03a,1,0,0,0,0,0,0,0,0
124,M042_A04a,1,0,0,0,0,0,0,0,0
125,M042_A05a,1,0,0,0,0,0,0,0,0
126,M042_A06a,1,0,0,0,0,0,0,0,0
127,M050_A02a,1,0,0,0,0,0,0,0,0
128,M050_A06a,1,0,0,0,0,0,0,0,0
129,M050_B01a,1,0,0,0,0,0,0,0,0
130,M050_B02a,1,0,0,0,0,0,0,0,0
131,M050_B03a,1,0,0,0,0,0,0,0,0
132,M051_A01a,1,0,0,0,0,0,0,0,0
133,M051_A02a,1,0,0,0,0,0,0,0,0
134,M051_A03a,1,0,0,0,0,0,0,0,0
135,M051_B01a,1,0,0,0,0,0,0,0,0
136,M051_B02a,1,0,0,0,0,0,0,0,0
137,M052_A01a,1,0,0,0,0,0,0,0,0
138,M052_A02a,1,0,0,0,0,0,0,0,0
139,M052_B01a,1,0,0,0,0,0,0,0,0
140,M052_B02a,1,0,0,0,0,0,0,0,0
141,M054_A01a,1,0,0,0,0,0,0,0,0
142,M070_A01a,1,0,0,0,0,0,0,0,0
143,M070_A02a,1,0,0,0,0,0,0,0,0
144,M070_A03a,1,0,0,0,0,0,0,0,0
145,M070_A04a,1,0,0,0,0,0,0,0,0
146,M070_B01a,1,0,0,0,0,0,0,0,0
147,M070_B02a,1,0,0,0,0,0,0,0,0
148,M071_A01a,1,0,0,0,0,0,0,0,0
149,M071_A01b,1,0,0,0,0,0,0,0,0
150,M071_A02a,1,0,0,0,0,0,0,0,0
151,M071_A03a,1,0,0,0,0,0,0,0,0
152,M071_A04a,1,0,0,0,0,0,0,0,0
153,M071_B01a,1,0,0,0,0,0,0,0,0
154,M072_A01a,1,0,0,0,0,0,0,0,0
155,M072_A02a,1,0,0,0,0,0,0,0,0
156,M072_B01a,1,0,0,0,0,0,0,0,0
157,M072_B02a,1,0,0,0,0,0,0,0,0
158,M072_B03a,1,0,0,0,0,0,0,0,0
159,M080_A01a,0.32,0.33,0.35,0,0,0,0,0,0
160,M080_A02a,1,0,0,0,0,0,0,0,0
161,M080_A03a,1,0,0,0,0,0,0,0,0
162,M080_A04a,1,0,0,0,0,0,0,0,0
163,M080_A05a,0.4,0.6,0,0,0,0,0,0,0
164,M080_A06a,1,0,0,0,0,0,0,0,0
165,M081_A01a,1,0,0,0,0,0,0,0,0
166,M081_A02a,1,0,0,0,0,0,0,0,0
167,M081_A03a,1,0,0,0,0,0,0,0,0
168,M081_A04a,1,0,0,0,0,0,0,0,0
169,M081_A05a,1,0,0,0,0,0,0,0,0
170,M081_A06a,1,0,0,0,0,0,0,0,0
171,M082_A01a,1,0,0,0,0,0,0,0,0
172,M082_A02a,1,0,0,0,0,0,0,0,0
173,M082_A03a,1,0,0,0,0,0,0,0,0
174,M082_A04a,1,0,0,0,0,0,0,0,0
175,M082_A05a,1,0,0,0,0,0,0,0,0
176,M090_A01a,1,0,0,0,0,0,0,0,0
177,M090_A02a,1,0,0,0,0,0,0,0,0
178,M090_A03a,1,0,0,0,0,0,0,0,0
179,M090_A04a,1,0,0,0,0,0,0,0,0
180,M090_A05a,1,0,0,0,0,0,0,0,0
181,M090_A06a,1,0,0,0,0,0,0,0,0
182,M100_A01a,1,0,0,0,0,0,0,0,0
183,M100_A02a,1,0,0,0,0,0,0,0,0
184,M100_A03a,1,0,0,0,0,0,0,0,0
185,M100_A04a,1,0,0,0,0,0,0,0,0
186,M100_A05a,1,0,0,0,0,0,0,0,0
187,M100_B01a,1,0,0,0,0,0,0,0,0
188,M100_B02a,1,0,0,0,0,0,0,0,0
189,M100_B02b,1,0,0,0,0,0,0,0,0
190,M100_D01a,1,0,0,0,0,0,0,0,0
191,M100_D02a,1,0,0,0,0,0,0,0,0
192,M101_A01a,1,0,0,0,0,0,0,0,0
193,M101_A02a,1,0,0,0,0,0,0,0,0
194,M101_A03a,1,0,0,0,0,0,0,0,0
195,M101_A04a,1,0,0,0,0,0,0,0,0
196,M101_B01a,1,0,0,0,0,0,0,0,0
197,M101_B02a,1,0,0,0,0,0,0,0,0
198,M102_A01a,1,0,0,0,0,0,0,0,0
199,M102_A02a,1,0,0,0,0,0,0,0,0
200,M102_A03a,1,0,0,0,0,0,0,0,0
201,M102_A04a,1,0,0,0,0,0,0,0,0
202,M102_A05a,1,0,0,0,0,0,0,0,0
203,M102_A06a,1,0,0,0,0,0,0,0,0
204,M102_A07a,1,0,0,0,0,0,0,0,0
205,M102_A08a,1,0,0,0,0,0,0,0,0
206,M110_A01a,1,0,0,0,0,0,0,0,0
207,M200_A01a,1,0,0,0,0,0,0,0,0
208,M200_A02a,1,0,0,0,0,0,0,0,0
209,M200_B01a,1,0,0,0,0,0,0,0,0
210,M200_B02a,1,0,0,0,0,0,0,0,0
211,M200_D01a,1,0,0,0,0,0,0,0,0
212,M200_D02a,1,0,0,0,0,0,0,0,0
213,M210_A01a,1,0,0,0,0,0,0,0,0
214,M210_A02a,1,0,0,0,0,0,0,0,0
215,M210_A03a,1,0,0,0,0,0,0,0,0
216,M210_A04a,1,0,0,0,0,0,0,0,0
217,M210_B01a,1,0,0,0,0,0,0,0,0
218,M210_B03a,1,0,0,0,0,0,0,0,0
219,M210_B04a,1,0,0,0,0,0,0,0,0
220,M210_D01a,1,0,0,0,0,0,0,0,0
221,M210_D02a,1,0,0,0,0,0,0,0,0
222,M220_A01a,1,0,0,0,0,0,0,0,0
223,M220_A02a,1,0,0,0,0,0,0,0,0
224,M220_A03a,1,0,0,0,0,0,0,0,0
225,M220_A04a,1,0,0,0,0,0,0,0,0
226,M220_B01a,1,0,0,0,0,0,0,0,0
227,M220_B02a,1,0,0,0,0,0,0,0,0
228,M220_B03a,1,0,0,0,0,0,0,0,0
229,M220_D01a,1,0,0,0,0,0,0,0,0
230,M220_D02a,1,0,0,0,0,0,0,0,0
231,M230_A01a,1,0,0,0,0,0,0,0,0
232,M230_A02a,1,0,0,0,0,0,0,0,0
233,M230_A03a,1,0,0,0,0,0,0,0,0
234,M230_B01a,1,0,0,0,0,0,0,0,0
235,M230_B02a,1,0,0,0,0,0,0,0,0
236,M230_B03a,1,0,0,0,0,0,0,0,0
237,M230_B04a,1,0,0,0,0,0,0,0,0
238,M230_B05a,1,0,0,0,0,0,0,0,0
239,M230_D01a,1,0,0,0,0,0,0,0,0
240,M230_D02a,1,0,0,0,0,0,0,0,0
241,M300_A01a,1,0,0,0,0,0,0,0,0
242,M300_A02a,1,0,0,0,0,0,0,0,0
243,M300_A03a,1,0,0,0,0,0,0,0,0
244,M300_A03b,1,0,0,0,0,0,0,0,0
245,M300_A04a,1,0,0,0,0,0,0,0,0
246,M300_A04b,1,0,0,0,0,0,0,0,0
247,M300_A11a,1,0,0,0,0,0,0,0,0
248,M300_A12a,1,0,0,0,0,0,0,0,0
249,M300_A13a,1,0,0,0,0,0,0,0,0
250,M300_A21a,1,0,0,0,0,0,0,0,0
251,M300_A22a,1,0,0,0,0,0,0,0,0
252,M300_A23a,1,0,0,0,0,0,0,0,0
253,M300_A24a,1,0,0,0,0,0,0,0,0
254,M300_A31a,1,0,0,0,0,0,0,0,0
255,M300_A32a,1,0,0,0,0,0,0,0,0
256,M300_A33a,1,0,0,0,0,0,0,0,0
257,M300_A33b,1,0,0,0,0,0,0,0,0
258,M300_A41a,1,0,0,0,0,0,0,0,0
259,M300_A42a,1,0,0,0,0,0,0,0,0
260,M300_A43a,1,0,0,0,0,0,0,0,0
261,M300_A44a,1,0,0,0,0,0,0,0,0
262,M300_B01a,1,0,0,0,0,0,0,0,0
263,M300_B02a,1,0,0,0,0,0,0,0,0
264,M300_B03a,1,0,0,0,0,0,0,0,0
265,M300_B04a,1,0,0,0,0,0,0,0,0
266,M300_B11a,1,0,0,0,0,0,0,0,0
267,M300_B21a,1,0,0,0,0,0,0,0,0
268,M300_B22a,1,0,0,0,0,0,0,0,0
269,M300_B23a,1,0,0,0,0,0,0,0,0
270,M300_B24a,1,0,0,0,0,0,0,0,0
271,M300_B25a,1,0,0,0,0,0,0,0,0
272,M300_B31a,1,0,0,0,0,0,0,0,0
273,M300_D01a,1,0,0,0,0,0,0,0,0
274,M300_D01b,1,0,0,0,0,0,0,0,0
275,M300_D02a,1,0,0,0,0,0,0,0,0
276,M300_D02b,1,0,0,0,0,0,0,0,0
277,M300_D11a,1,0,0,0,0,0,0,0,0
278,M300_D12a,1,0,0,0,0,0,0,0,0
279,M300_D12b,1,0,0,0,0,0,0,0,0
280,M901_A01a,1,0,0,0,0,0,0,0,0
281,M902_B01a,1,0,0,0,0,0,0,0,0
282,M903_B01a,1,0,0,0,0,0,0,0,0
283,M904_B01a,1,0,0,0,0,0,0,0,0
284,M905_B01a,0.18,0.08,0.12,0.09,0.16,0.07,0.3,0,0
285,M90X_A01a,1,0,0,0,0,0,0,0,0
286,M90X_A02a,1,0,0,0,0,0,0,0,0
287,M90X_A03a,1,0,0,0,0,0,0,0,0
288,M90X_A04a,1,0,0,0,0,0,0,0,0
289,M90X_A05a,1,0,0,0,0,0,0,0,0
290,M90X_B01a,1,0,0,0,0,0,0,0,0
291,M90X_B02a,1,0,0,0,0,0,0,0,0
292,M90X_B03a,0.2,0.3,0.5,0,0,0,0,0,0
293,M90X_B04a,1,0,0,0,0,0,0,0,0
294,M90X_B05a,1,0,0,0,0,0,0,0,0
295,M90X_B06a,1,0,0,0,0,0,0,0,0
296,M90Y_A01a,1,0,0,0,0,0,0,0,0
297,M90Y_A02a,1,0,0,0,0,0,0,0,0
298,M90Y_A03a,1,0,0,0,0,0,0,0,0
299,M90Y_A04a,1,0,0,0,0,0,0,0,0
300,M90Y_A05a,1,0,0,0,0,0,0,0,0
301,M90Y_A06a,1,0,0,0,0,0,0,0,0
302,M90Y_A07a,1,0,0,0,0,0,0,0,0
303,M90Y_A08a,1,0,0,0,0,0,0,0,0
304,M90Y_A09a,1,0,0,0,0,0,0,0,0
305,M90Y_B01a,1,0,0,0,0,0,0,0,0
306,M90Y_B02a,1,0,0,0,0,0,0,0,0
307,M90Y_B03a,1,0,0,0,0,0,0,0,0
308,M90Y_B04a,1,0,0,0,0,0,0,0,0
309,M90Y_B05a,1,0,0,0,0,0,0,0,0
310,M90Y_B06a,1,0,0,0,0,0,0,0,0
311,M90Z_A01a,1,0,0,0,0,0,0,0,0
312,M90Z_A02a,1,0,0,0,0,0,0,0,0
313,M90Z_A03a,1,0,0,0,0,0,0,0,0
314,M90Z_A04a,1,0,0,0,0,0,0,0,0
315,M90Z_A05a,1,0,0,0,0,0,0,0,0
316,M90Z_A06a,1,0,0,0,0,0,0,0,0
317,M90Z_B01a,1,0,0,0,0,0,0,0,0
318,M90Z_B02a,1,0,0,0,0,0,0,0,0
319,M90Z_B03a,1,0,0,0,0,0,0,0,0
320,MA000_A01,1,0,0,0,0,0,0,0,0
321,MA000_A02,1,0,0,0,0,0,0,0,0
322,MA000_A04,1,0,0,0,0,0,0,0,0
323,MA000_A06,1,0,0,0,0,0,0,0,0
324,MA000_A07,1,0,0,0,0,0,0,0,0
325,MA000_A08,1,0,0,0,0,0,0,0,0
326,MA000_A09,1,0,0,0,0,0,0,0,0
327,MA000_B01,0.3,0.7,0,0,0,0,0,0,0
328,MA000_B01a,0.3,0.7,0,0,0,0,0,0,0
329,MA000_B02,1,0,0,0,0,0,0,0,0
330,MA000_B03,1,0,0,0,0,0,0,0,0
331,MA000_B04,0.29,0.31,0.4,0,0,0,0,0,0
332,MA000_B06,0.1,0.12,0.14,0.16,0.48,0,0,0,0
333,MA000_B07,0.27,0.1,0.11,0.12,0.4,0,0,0,0
334,MA000_B08,1,0,0,0,0,0,0,0,0
335,MA000_B09,1,0,0,0,0,0,0,0,0
336,MG_A_01,1,0,0,0,0,0,0,0,0
337,MG_A_02,1,0,0,0,0,0,0,0,0
338,MG_A_03,1,0,0,0,0,0,0,0,0
339,MG_A_04,1,0,0,0,0,0,0,0,0
340,MG_A_05,1,0,0,0,0,0,0,0,0
341,MG_B_01,1,0,0,0,0,0,0,0,0
342,MG_B_02,1,0,0,0,0,0,0,0,0
343,MG_B_03,1,0,0,0,0,0,0,0,0
344,MG_B_04,1,0,0,0,0,0,0,0,0
345,MG_B_05,1,0,0,0,0,0,0,0,0
346,MG_B_13,1,0,0,0,0,0,0,0,0
347,MG_C_01,1,0,0,0,0,0,0,0,0
348,MG_C_02,1,0,0,0,0,0,0,0,0
349,MG_C_03,1,0,0,0,0,0,0,0,0
350,MG_C_04,1,0,0,0,0,0,0,0,0
351,MG_C_05,1,0,0,0,0,0,0,0,0
352,MG_C_15,1,0,0,0,0,0,0,0,0
353,MG_D_01,1,0,0,0,0,0,0,0,0
354,MG_D_02,1,0,0,0,0,0,0,0,0
355,MG_D_03,1,0,0,0,0,0,0,0,0
356,MG_D_04,1,0,0,0,0,0,0,0,0
357,MG_D_05,1,0,0,0,0,0,0,0,0
358,MG_E_01,1,0,0,0,0,0,0,0,0
359,MG_E_02,1,0,0,0,0,0,0,0,0
360,MG_E_03,1,0,0,0,0,0,0,0,0
361,MG_E_04,1,0,0,0,0,0,0,0,0
362,MG_E_05,1,0,0,0,0,0,0,0,0
363,RB_A_01,1,0,0,0,0,0,0,0,0
364,RB_A_02,1,0,0,0,0,0,0,0,0
365,RB_A_03,1,0,0,0,0,0,0,0,0
366,RB_A_04,1,0,0,0,0,0,0,0,0
367,RB_B_01,1,0,0,0,0,0,0,0,0
368,RB_B_02,1,0,0,0,0,0,0,0,0
369,RB_B_03,1,0,0,0,0,0,0,0,0
370,RB_B_04,1,0,0,0,0,0,0,0,0
371,RB_B_05,1,0,0,0,0,0,0,0,0
372,RB_C_01,1,0,0,0,0,0,0,0,0
373,RB_C_02,1,0,0,0,0,0,0,0,0
374,RB_C_03,1,0,0,0,0,0,0,0,0
375,RB_C_04,1,0,0,0,0,0,0,0,0
376,RB_C_05,1,0,0,0,0,0,0,0,0
377,RB_C_06,1,0,0,0,0,0,0,0,0
378,SG000_B01,0.15,0.15,0.7,0,0,0,0,0,0
379,SG000_B02,0.4,0.6,0,0,0,0,0,0,0
380,SG000_B03,1,0,0,0,0,0,0,0,0
381,WH000_A01,1,0,0,0,0,0,0,0,0
382,WH000_A02,1,0,0,0,0,0,0,0,0
383,WH000_A02a,1,0,0,0,0,0,0,0,0
384,WH000_A04,1,0,0,0,0,0,0,0,0
385,WH000_A04a,1,0,0,0,0,0,0,0,0
386,WH000_B01,1,0,0,0,0,0,0,0,0
387,WH000_B01a,1,0,0,0,0,0,0,0,0
388,WHGSW_A01,0.4,0.6,0,0,0,0,0,0,0
389,WHGSW_B01,1,0,0,0,0,0,0,0,0
390,WHGSW_B02,1,0,0,0,0,0,0,0,0
391,WHGSW_B03,1,0,0,0,0,0,0,0,0
392,WHGSW_B04,0.19,0.2,0.21,0.4,0,0,0,0,0
393,WHPSW_A01,1,0,0,0,0,0,0,0,0
394,WHPSW_A01a,1,0,0,0,0,0,0,0,0
395,WHPSW_B01,0.2,0.3,0.5,0,0,0,0,0,0
396,WHPSW_B02,1,0,0,0,0,0,0,0,0
397,WHPSW_B03,0.2,0.12,0.11,0.14,0.13,0.3,0,0,0
398,WHPSW_B04,0.2,0.3,0.5,0,0,0,0,0,0
399,WHPSW_B04a,0.2,0.3,0.5,0,0,0,0,0,0
400,WHSSW_A01,1,0,0,0,0,0,0,0,0
401,WHSSW_B01,1,0,0,0,0,0,0,0,0
402,WHSSW_B02,0.4,0.6,0,0,0,0,0,0,0
403,WHSSW_B03,1,0,0,0,0,0,0,0,0
404,WHSSW_B04,0.28,0.32,0.4,0,0,0,0,0,0
405,WHSSW_B04a,0.28,0.32,0.4,0,0,0,0,0,0
406,WL000_A01,1,0,0,0,0,0,0,0,0
407,WL000_A02,1,0,0,0,0,0,0,0,0
408,WL000_A04,1,0,0,0,0,0,0,0,0
409,WL000_B01,0.3,0.09,0.1,0.11,0.4,0,0,0,0
410,WLAXE_A01,1,0,0,0,0,0,0,0,0
411,WLAXE_B01,1,0,0,0,0,0,0,0,0
412,WLAXE_B02,0.157,0.145,0.153,0.145,0.4,0,0,0,0
413,WLAXE_B03,1,0,0,0,0,0,0,0,0
414,WLAXE_B03a,1,0,0,0,0,0,0,0,0
415,WLDAG_A01,1,0,0,0,0,0,0,0,0
416,WLDAG_B01,1,0,0,0,0,0,0,0,0
417,WLDAG_B02,1,0,0,0,0,0,0,0,0
418,WLDAG_B03,0.19,0.2,0.21,0.4,0,0,0,0,0
419,WLLSW_B01,1,0,0,0,0,0,0,0,0
420,WLLSW_B02,1,0,0,0,0,0,0,0,0
421,WLLSW_B03,0.25,0.3,0.45,0,0,0,0,0,0
422,WLLSW_B04,0.045,0.06,0.05,0.04,0.06,0.04,0.055,0.25,0.4
423,WLRAP_A01,1,0,0,0,0,0,0,0,0
424,WLRAP_A02,1,0,0,0,0,0,0,0,0
425,WLRAP_B01,1,0,0,0,0,0,0,0,0
426,WLRAP_B02,1,0,0,0,0,0,0,0,0
427,WLTSW_A01,1,0,0,0,0,0,0,0,0
428,WLTSW_B01,1,0,0,0,0,0,0,0,0
429,WLTSW_B02,1,0,0,0,0,0,0,0,0
