,label,MaxRank,Count1,Count2,Count3,Count4,Count5,BP1,BP2,BP3,BP4,BP5,Attack1,Attack2,Attack3,Attack4,Attack5,Turn1,Turn2,Turn3,Turn4,Turn5
32,THS_WH000_A04_SOUL_BASE,5,0,6,33,93,192,4,4,4,4,4,42,43,44,45,47,0,0,0,0,0
33,THS_WH000_B01,5,0,5,28,77,160,6,6,6,6,6,32,33,34,35,36,0,0,0,0,0
34,THS_WH000_B01_A,5,0,7,39,109,224,2,2,2,2,2,11,12,13,14,15,0,0,0,0,0
35,THS_WHGSW_A01,5,0,6,36,101,208,3,3,3,3,3,40,41,42,43,45,0,0,0,0,0
36,THS_WHGSW_A01_A,5,0,6,33,93,192,4,4,4,4,4,46,47,48,49,51,0,0,0,0,0
37,THS_WHGSW_B01,5,0,6,33,93,192,4,4,4,4,4,47,48,49,50,52,0,0,0,0,0
38,THS_WHGSW_B02,5,0,5,31,85,176,5,5,5,5,5,52,53,54,56,58,0,0,0,0,0
39,THS_WHGSW_B03,5,0,5,28,77,160,6,6,6,6,6,62,63,64,66,68,0,0,0,0,0
40,THS_WHGSW_B04,5,0,4,25,70,144,7,7,7,7,7,68,69,71,73,75,0,0,0,0,0
41,THS_WHSSW_A01,5,0,6,36,101,208,3,3,3,3,3,65,66,67,69,71,0,0,0,0,0
42,THS_WHSSW_B01,5,0,6,33,93,192,4,4,4,4,4,49,50,51,52,54,0,0,0,0,0
43,THS_WHSSW_B02,5,0,5,31,85,176,5,5,5,5,5,82,83,85,87,90,0,0,0,0,0
44,THS_WHSSW_B03,5,0,5,28,77,160,6,6,6,6,6,62,63,64,66,68,0,0,0,0,0
45,THS_WHSSW_B04,5,0,4,25,70,144,7,7,7,7,7,65,66,67,69,71,0,0,0,0,0
46,THS_WHSSW_B04_EX1_BASE,5,0,4,25,70,144,7,7,7,7,7,65,66,67,69,71,0,0,0,0,0
47,THS_WHPSW_A01,5,0,7,39,109,224,2,2,2,2,2,31,32,33,34,35,0,0,0,0,0
48,THS_WHPSW_A01_EX1_BASE,5,0,7,39,109,224,2,2,2,2,2,31,32,33,34,35,0,0,0,0,0
49,THS_WHPSW_B01,5,0,6,36,101,208,3,3,3,3,3,40,41,42,43,45,0,0,0,0,0
50,THS_WHPSW_B02,5,0,6,33,93,192,4,4,4,4,4,42,43,44,45,47,0,0,0,0,0
51,THS_WHPSW_B02_A,5,0,6,36,101,208,3,3,3,3,3,35,36,37,38,39,0,0,0,0,0
52,THS_WHPSW_B03,5,0,5,31,85,176,5,5,5,5,5,54,55,56,58,60,0,0,0,0,0
53,THS_WHPSW_B04,5,0,5,28,77,160,6,6,6,6,6,56,57,58,60,62,0,0,0,0,0
54,THS_WHPSW_B04_EX1_BASE,5,0,5,28,77,160,6,6,6,6,6,56,57,58,60,62,0,0,0,0,0
55,OHG_GL000_A01,5,0,7,42,116,240,1,1,1,1,1,21,22,23,24,25,0,0,0,0,0
56,OHG_GL000_A02,5,0,7,39,109,224,2,2,2,2,2,44,45,46,47,49,0,0,0,0,0
57,OHG_GL000_A04,5,0,7,39,109,224,2,2,2,2,2,44,45,46,47,49,0,0,0,0,0
58,OHG_GL000_A05,5,0,7,39,109,224,2,2,2,2,2,27,28,29,30,31,0,0,0,0,0
59,OHG_GL000_B01,5,0,7,39,109,224,2,2,2,2,2,29,30,31,32,33,0,0,0,0,0
60,OHG_GL000_B03,5,0,6,33,93,192,4,4,4,4,4,32,33,34,35,36,0,0,0,0,0
61,OHG_GL000_B04,5,0,6,36,101,208,3,3,3,3,3,49,50,51,52,54,0,0,0,0,0
62,OHG_GL000_B05,5,0,6,36,101,208,3,3,3,3,3,27,28,29,30,31,0,0,0,0,0
63,OHG_GL000_B06,5,0,6,33,93,192,4,4,4,4,4,40,41,42,43,45,0,0,0,0,0
64,OHG_GL000_B08,5,0,5,31,85,176,5,5,5,5,5,44,45,46,47,49,0,0,0,0,0
65,OHG_GLTWO_A01,5,0,5,31,85,176,5,5,5,5,5,60,61,62,64,66,0,0,0,0,0
66,OHG_GLTWO_A02,5,0,6,33,93,192,4,4,4,4,4,25,26,27,28,29,0,0,0,0,0
67,OHG_GLTWO_B01,5,0,5,28,77,160,6,6,6,6,6,31,32,33,34,35,0,0,0,0,0
68,OHG_SG000_B01,5,0,5,28,77,160,5,5,5,5,5,49,50,51,52,54,0,0,0,0,0
69,OHG_SG000_B02,5,0,6,33,93,192,4,4,4,4,4,43,44,45,46,48,0,0,0,0,0
70,OHG_SG000_B03,5,0,5,28,77,160,6,6,6,6,6,71,72,74,76,78,0,0,0,0,0
71,THG_GH000_A01,5,0,6,36,101,208,3,3,3,3,3,44,45,46,47,49,0,0,0,0,0
72,THG_GH000_A02,5,0,6,36,101,208,3,3,3,3,3,41,42,43,44,46,0,0,0,0,0
73,THG_GH000_A03,5,0,6,33,93,192,4,4,4,4,4,50,51,52,54,56,0,0,0,0,0
74,THG_GH000_A04,5,0,5,31,85,176,5,5,5,5,5,55,56,57,59,61,0,0,0,0,0
75,THG_GH000_B01,5,0,5,28,77,160,6,6,6,6,6,61,62,63,65,67,0,0,0,0,0
76,THG_GH000_B02,5,0,5,28,77,160,6,6,6,6,6,32,33,34,35,36,0,0,0,0,0
77,THG_GH000_B02_SOUL_BASE,5,0,5,28,77,160,6,6,6,6,6,32,33,34,35,36,0,0,0,0,0
78,THG_GHMAC_A01,5,0,6,36,101,208,3,3,3,3,3,44,45,46,47,49,0,0,0,0,0
79,THG_GHMAC_B01,5,0,6,33,93,192,4,4,4,4,4,25,26,27,28,29,0,0,0,0,0
80,THG_GHMAC_B02,5,0,5,31,85,176,5,5,5,5,5,73,74,76,78,80,0,0,0,0,0
81,THG_GHFLA_A01,5,0,6,36,101,208,3,3,3,3,3,44,45,46,47,49,0,0,0,0,0
82,THG_GHFLA_B01,5,0,6,33,93,192,4,4,4,4,4,52,53,54,56,58,0,0,0,0,0
83,THG_GHFLA_B02,5,0,5,28,77,160,6,6,6,6,6,65,66,67,69,71,0,0,0,0,0
84,THG_GHELE_A01,5,0,6,36,101,208,3,3,3,3,3,22,23,24,25,26,0,0,0,0,0
85,THG_GHELE_A02,5,0,6,33,93,192,4,4,4,4,4,49,50,51,52,54,0,0,0,0,0
86,THG_GHELE_B01,5,0,5,28,77,160,6,6,6,6,6,60,61,62,64,66,0,0,0,0,0
87,THG_GHBOM_A01,5,0,6,36,101,208,3,3,3,3,3,25,26,27,28,29,0,0,0,0,0
88,THG_GHBOM_B01,5,0,6,33,93,192,4,4,4,4,4,48,49,50,51,53,0,0,0,0,0
89,THG_GHBOM_B02,5,0,5,28,77,160,6,6,6,6,6,36,37,38,39,40,0,0,0,0,0
90,THG_GHCHE_A01,5,0,6,36,101,208,3,3,3,3,3,41,42,43,44,46,0,0,0,0,0
91,THG_GHCHE_B01,5,0,6,33,93,192,4,4,4,4,4,47,48,49,50,52,0,0,0,0,0
92,THG_GHCHE_B02,5,0,5,28,77,160,6,6,6,6,6,62,63,64,66,68,0,0,0,0,0
93,MAR_MA000_A01,5,0,7,42,116,240,1,1,1,1,1,20,21,22,23,24,0,0,0,0,0
94,MAR_MA000_A07,5,0,7,39,109,224,2,2,2,2,2,23,24,25,26,27,0,0,0,0,0
95,MAR_MA000_B03,5,0,6,36,101,208,3,3,3,3,3,32,33,34,35,36,0,0,0,0,0
96,MAR_MA000_B06,5,0,6,33,93,192,4,4,4,4,4,35,36,37,38,39,0,0,0,0,0
97,MAR_MA000_B08,5,0,5,31,85,176,5,5,5,5,5,42,43,44,45,47,0,0,0,0,0
98,MAR_MA000_A02,5,0,7,42,116,240,1,1,1,1,1,23,24,25,26,27,0,0,0,0,0
99,MAR_MA000_A08,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
100,MAR_MA000_B01,5,0,6,33,93,192,4,4,4,4,4,40,41,42,43,45,0,0,0,0,0
101,MAR_MA000_B04,5,0,5,31,85,176,5,5,5,5,5,47,48,49,50,52,0,0,0,0,0
102,MAR_MA000_B07,5,0,5,28,77,160,6,6,6,6,6,52,53,54,56,58,0,0,0,0,0
103,MAR_MA000_A04,5,0,7,39,109,224,2,2,2,2,2,29,30,31,32,33,0,0,0,0,0
104,MAR_MA000_A06,5,0,6,36,101,208,3,3,3,3,3,34,35,36,37,38,0,0,0,0,0
105,MAR_MA000_A09,5,0,6,33,93,192,4,4,4,4,4,41,42,43,44,46,0,0,0,0,0
106,MAR_MA000_B02,5,0,5,31,85,176,5,5,5,5,5,84,85,87,89,92,0,0,0,0,0
107,MAR_MA000_B09,5,0,5,28,77,160,6,6,6,6,6,50,51,52,54,56,0,0,0,0,0
108,MCH_M901_A01a,5,0,6,36,101,208,3,3,3,3,3,30,31,32,33,34,0,0,0,0,0
109,MCH_M905_B01a,5,0,5,28,77,160,6,6,6,6,6,50,51,52,54,56,0,0,0,0,0
110,MCH_M90X_A01a,5,0,7,42,116,240,1,1,1,1,1,24,25,26,27,28,0,0,0,0,0
111,MCH_M90X_A01a_A,5,0,7,39,109,224,2,2,2,2,2,29,30,31,32,33,0,0,0,0,0
112,MCH_M90X_A01a_B,5,0,7,42,116,240,1,1,1,1,1,9,10,11,12,13,0,0,0,0,0
113,MCH_M90X_A02a,5,0,7,39,109,224,2,2,2,2,2,29,30,31,32,33,0,0,0,0,0
114,MCH_M90X_A02a_A,5,0,7,39,109,224,2,2,2,2,2,29,30,31,32,33,0,0,0,0,0
115,MCH_M90X_A03a,5,0,7,39,109,224,2,2,2,2,2,45,46,47,48,50,0,0,0,0,0
116,MCH_M90X_A03a_A,5,0,7,39,109,224,2,2,2,2,2,31,32,33,34,35,0,0,0,0,0
117,MCH_M90X_A03a_B,5,0,7,42,116,240,1,1,1,1,1,24,25,26,27,28,0,0,0,0,0
118,MCH_M90X_A04a,1,0,6,18,101,208,3,3,3,3,3,0,1,2,3,4,0,0,0,0,0
119,MCH_M90X_A04a_B,1,0,7,21,116,240,1,1,1,1,1,0,1,2,3,4,0,0,0,0,0
120,MCH_M90X_A05a,5,0,6,36,101,208,3,3,3,3,3,32,33,34,35,36,0,0,0,0,0
121,MCH_M90X_A05a_A,5,0,6,36,101,208,3,3,3,3,3,50,51,52,54,56,0,0,0,0,0
122,MCH_M90X_A06a,3,0,3,36,999,999,3,2,1,1,1,60,60,60,60,60,0,0,0,0,0
123,MCH_M90X_B01a,5,0,6,33,93,192,4,4,4,4,4,35,36,37,38,39,0,0,0,0,0
124,MCH_M90X_B01a_A,5,0,6,36,101,208,3,3,3,3,3,18,19,20,21,22,0,0,0,0,0
125,MCH_M90X_B02a,5,0,6,33,93,192,4,4,4,4,4,38,39,40,41,42,0,0,0,0,0
126,MCH_M90X_B02a_A,5,0,5,31,85,176,5,5,5,5,5,45,46,47,48,50,0,0,0,0,0
127,MCH_M90X_B03a,5,0,5,31,85,176,5,5,5,5,5,46,47,48,49,51,0,0,0,0,0
128,MCH_M90X_B03a_A,5,0,6,33,93,192,4,4,4,4,4,37,38,39,40,41,0,0,0,0,0
129,MCH_M90X_B04a,5,0,5,31,85,176,5,5,5,5,5,47,48,49,50,52,0,0,0,0,0
130,MCH_M90X_B05a,5,0,5,28,77,160,6,6,6,6,6,31,32,33,34,35,0,0,0,0,0
131,MCH_M90X_B06a,5,0,5,28,77,160,6,6,6,6,6,46,47,48,49,51,0,0,0,0,0
132,MCH_Diva,5,0,4,25,70,144,7,7,7,7,7,76,77,79,81,83,0,0,0,0,0
133,MCH_M903_B01a,5,0,6,36,101,208,3,3,3,3,3,13,14,15,16,17,0,0,0,0,0
134,MCH_M904_B01a,5,0,6,33,93,192,4,4,4,4,4,51,52,53,55,57,0,0,0,0,0
135,MCH_M902_B01a,5,0,5,31,85,176,5,5,5,5,5,60,61,62,64,66,0,0,0,0,0
136,MCH_M90Y_A01a,5,0,7,42,116,240,1,1,1,1,1,21,22,23,24,25,0,0,0,0,0
137,MCH_M90Y_A01a_A,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
138,MCH_M90Y_A01a_B,5,0,7,42,116,240,1,1,1,1,1,15,16,17,18,19,0,0,0,0,0
139,MCH_M90Y_A02a,5,0,7,42,116,240,1,1,1,1,1,21,22,23,24,25,0,0,0,0,0
140,MCH_M90Y_A02a_A,5,0,7,39,109,224,2,2,2,2,2,29,30,31,32,33,0,0,0,0,0
141,MCH_M90Y_A03a,5,0,7,39,109,224,2,2,2,2,2,12,13,14,15,16,0,0,0,0,0
142,MCH_M90Y_A04a,5,0,6,36,101,208,3,3,3,3,3,61,62,63,65,67,0,0,0,0,0
143,MCH_M90Y_A05a,5,0,7,39,109,224,2,2,2,2,2,43,44,45,46,48,0,0,0,0,0
144,MCH_M90Y_A06a,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
145,MCH_M90Y_A07a,5,0,6,36,101,208,3,3,3,3,3,18,19,20,21,22,0,0,0,0,0
146,MCH_M90Y_A08a,5,0,6,33,93,192,4,4,4,4,4,40,41,42,43,45,0,0,0,0,0
147,MCH_M90Y_A08a_A,5,0,7,39,109,224,2,2,2,2,2,27,28,29,30,31,0,0,0,0,0
148,MCH_M90Y_A09a,5,0,5,31,85,176,5,5,5,5,5,42,43,44,45,47,0,0,0,0,0
149,MCH_M90Y_B01a,5,0,5,31,85,176,5,5,5,5,5,61,62,63,65,67,0,0,0,0,0
150,MCH_M90Y_B02a,5,0,6,33,93,192,4,4,4,4,4,51,52,53,55,57,0,0,0,0,0
151,MCH_M90Y_B03a,5,0,6,33,93,192,4,4,4,4,4,21,22,23,24,25,0,0,0,0,0
152,MCH_M90Y_B04a,5,0,5,28,77,160,6,6,6,6,6,30,31,32,33,34,0,0,0,0,0
153,MCH_M90Y_B05a,5,0,5,31,85,176,5,5,5,5,5,26,27,28,29,30,0,0,0,0,0
154,MCH_M90Y_B06a,5,0,4,25,70,144,7,7,7,7,7,69,70,71,73,75,0,0,0,0,0
155,MCH_M90Z_A01a,1,0,3,21,999,999,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
156,MCH_M90Z_A01a_2,1,0,3,19,999,999,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
157,MCH_M90Z_A02a,1,0,3,21,999,999,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
158,MCH_M90Z_A02a_2,1,0,3,19,999,999,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
159,MCH_M90Z_A03a,1,0,3,21,999,999,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
160,MCH_M90Z_A03a_2,1,0,3,19,999,999,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
161,MCH_M90Z_A04a,1,0,3,21,999,999,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
162,MCH_M90Z_A04a_2,1,0,3,19,999,999,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
163,MCH_M90Z_A05a,1,0,3,19,999,999,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
164,MCH_M90Z_A05a_2,1,0,3,21,999,999,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
165,MCH_M90Z_A06a,1,0,3,19,999,999,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
166,MCH_M90Z_A06a_2,1,0,3,21,999,999,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
167,MCH_M90Z_B01a,1,0,3,21,999,999,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
168,MCH_M90Z_B01a_2,1,0,3,19,999,999,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
169,MCH_M90Z_B02a,1,0,2,15,999,999,5,4,3,3,3,0,0,0,0,0,0,0,0,0,0
170,MCH_M90Z_B02a_2,1,0,3,18,999,999,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0
171,MCH_M90Z_B03a,1,0,3,21,999,999,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
172,MCH_M90Z_B03a_2,1,0,3,19,999,999,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
173,MON_M054_A01a,5,0,7,42,116,240,1,1,1,1,1,23,24,25,26,27,0,0,0,0,0
174,MON_M001X_A01a,5,0,7,42,116,240,1,1,1,1,1,23,24,25,26,27,0,0,0,0,0
175,MON_M003_A01a,5,0,7,42,116,240,1,1,1,1,1,23,24,25,26,27,0,0,0,0,0
176,MON_M110_A01a,5,0,7,42,116,240,1,1,1,1,1,23,24,25,26,27,0,0,0,0,0
177,MON_M072X_A01a,5,0,7,42,116,240,1,1,1,1,1,23,24,25,26,27,0,0,0,0,0
178,MON_M000_A02a,5,0,7,42,116,240,1,1,1,1,1,20,21,22,23,24,0,0,0,0,0
179,MON_M000_A01a,5,0,6,36,101,208,3,3,3,3,3,29,30,31,32,33,0,0,0,0,0
180,MON_M000_A03a,5,0,6,36,101,208,3,3,3,3,3,53,54,55,57,59,0,0,0,0,0
181,MON_M000_A04a,5,0,6,36,101,208,3,3,3,3,3,53,54,55,57,59,0,0,0,0,0
182,MON_M000_A05a,5,0,6,36,101,208,3,3,3,3,3,53,54,55,57,59,0,0,0,0,0
183,MON_M001_A02a,5,0,7,39,109,224,2,2,2,2,2,25,26,27,28,29,0,0,0,0,0
184,MON_M001_A04a,5,0,6,33,93,192,4,4,4,4,4,62,63,64,66,68,0,0,0,0,0
185,MON_M002_A01a,5,0,7,42,116,240,1,1,1,1,1,21,22,23,24,25,0,0,0,0,0
186,MON_M002_A02a,5,0,7,39,109,224,2,2,2,2,2,28,29,30,31,32,0,0,0,0,0
187,MON_M002_A05a,5,0,6,33,93,192,4,4,4,4,4,43,44,45,46,48,0,0,0,0,0
188,MON_M002_A04a,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
189,MON_M002_A03a,5,0,7,39,109,224,2,2,2,2,2,31,32,33,34,35,0,0,0,0,0
190,MON_M002_A03a_A,5,0,7,39,109,224,2,2,2,2,2,22,23,24,25,26,0,0,0,0,0
191,MON_M002_A03a_B,5,0,7,39,109,224,2,2,2,2,2,23,24,25,26,27,0,0,0,0,0
192,MON_M010_A01a,5,0,7,39,109,224,2,2,2,2,2,26,27,28,29,30,0,0,0,0,0
193,MON_M010_A02a,5,0,6,36,101,208,3,3,3,3,3,31,32,33,34,35,0,0,0,0,0
194,MON_M010_B02a,5,0,6,33,93,192,4,4,4,4,4,39,40,41,42,43,0,0,0,0,0
195,MON_M010_A04a,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
196,MON_M011_A01a,5,0,5,31,85,176,5,5,5,5,5,45,46,47,48,50,0,0,0,0,0
197,MON_M011_B02a,5,0,4,25,70,144,7,7,7,7,7,54,55,56,58,60,0,0,0,0,0
198,MON_M012_A03a,5,0,6,36,101,208,3,3,3,3,3,49,50,51,52,54,0,0,0,0,0
199,MON_M012_A04a,5,0,6,36,101,208,3,3,3,3,3,49,50,51,52,54,0,0,0,0,0
200,MON_M021_A01a,5,0,6,36,101,208,3,3,3,3,3,35,36,37,38,39,0,0,0,0,0
201,MON_M021_A02a,5,0,6,33,93,192,4,4,4,4,4,59,60,61,63,65,0,0,0,0,0
202,MON_M021_A03a,5,0,5,31,85,176,5,5,5,5,5,43,44,45,46,48,0,0,0,0,0
203,MON_M021_A04a,5,0,5,31,85,176,5,5,5,5,5,44,45,46,47,49,0,0,0,0,0
204,MON_M021_A05a,5,0,5,28,77,160,6,6,6,6,6,55,56,57,59,61,0,0,0,0,0
205,MON_M022_A02a,5,0,6,36,101,208,3,3,3,3,3,15,16,17,18,19,0,0,0,0,0
206,MON_M022_A03a,5,0,6,33,93,192,4,4,4,4,4,35,36,37,38,39,0,0,0,0,0
207,MON_M023_A01a,5,0,7,42,116,240,1,1,1,1,1,22,23,24,25,26,0,0,0,0,0
208,MON_M023_A03a,5,0,6,33,93,192,4,4,4,4,4,19,20,21,22,23,0,0,0,0,0
209,MON_M030_A01a,5,0,7,42,116,240,1,1,1,1,1,23,24,25,26,27,0,0,0,0,0
210,MON_M030_A04a,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
211,MON_M030_A02a,5,0,6,36,101,208,3,3,3,3,3,15,16,17,18,19,0,0,0,0,0
212,MON_M031_A01a,5,0,7,39,109,224,2,2,2,2,2,25,26,27,28,29,0,0,0,0,0
213,MON_M031_A01a_A,5,0,6,36,101,208,3,3,3,3,3,32,33,34,35,36,0,0,0,0,0
214,MON_M031_A04a,5,0,6,36,101,208,3,3,3,3,3,34,35,36,37,38,0,0,0,0,0
215,MON_M031_B01a,1,0,7,19,109,224,2,2,2,2,2,0,1,2,3,4,0,0,0,0,0
216,MON_M032_A01a,5,0,6,36,101,208,3,3,3,3,3,60,61,62,64,66,0,0,0,0,0
217,MON_M032_A01a_A,5,0,6,36,101,208,3,3,3,3,3,35,36,37,38,39,0,0,0,0,0
218,MON_M032_A02a,5,0,5,31,85,176,5,5,5,5,5,45,46,47,48,50,0,0,0,0,0
219,MON_M032_B01a,5,0,5,28,77,160,6,6,6,6,6,46,47,48,49,51,0,0,0,0,0
220,MON_M032_B02a,5,0,4,25,70,144,7,7,7,7,7,90,91,93,95,98,0,0,0,0,0
221,MON_M040_A01a,5,0,7,42,116,240,1,1,1,1,1,21,22,23,24,25,0,0,0,0,0
222,MON_M040_A03a,5,0,6,33,93,192,4,4,4,4,4,68,69,71,73,75,0,0,0,0,0
223,MON_M040_A04a,5,0,6,36,101,208,3,3,3,3,3,31,32,33,34,35,0,0,0,0,0
224,MON_M040_B02a,5,0,5,28,77,160,6,6,6,6,6,48,49,50,51,53,0,0,0,0,0
225,MON_M041_A02a,5,0,6,33,93,192,4,4,4,4,4,40,41,42,43,45,0,0,0,0,0
226,MON_M041_B01a,5,0,6,33,93,192,4,4,4,4,4,43,44,45,46,48,0,0,0,0,0
227,MON_M041_B01a_A,5,0,6,36,101,208,3,3,3,3,3,28,29,30,31,32,0,0,0,0,0
228,MON_M041_B03a,5,0,5,28,77,160,6,6,6,6,6,63,64,65,67,69,0,0,0,0,0
229,MON_M042_A02a,5,0,6,36,101,208,3,3,3,3,3,35,36,37,38,39,0,0,0,0,0
230,MON_M042_A03a,5,0,5,31,85,176,5,5,5,5,5,45,46,47,48,50,0,0,0,0,0
231,MON_M042_A01a,5,0,6,33,93,192,4,4,4,4,4,31,32,33,34,35,0,0,0,0,0
232,MON_M042_A04a,5,0,5,31,85,176,5,5,5,5,5,44,45,46,47,49,0,0,0,0,0
233,MON_M050_A06a,5,0,6,36,101,208,3,3,3,3,3,25,26,27,28,29,0,0,0,0,0
234,MON_M050_B02a,5,0,5,28,77,160,6,6,6,6,6,28,29,30,31,32,0,0,0,0,0
235,MON_M051_A01a,5,0,6,36,101,208,3,3,3,3,3,26,27,28,29,30,0,0,0,0,0
236,MON_M051_B01a,5,0,5,31,85,176,5,5,5,5,5,44,45,46,47,49,0,0,0,0,0
237,MON_M051_B02a,5,0,5,28,77,160,6,6,6,6,6,49,50,51,52,54,0,0,0,0,0
238,MON_M052_A01a,5,0,6,36,101,208,3,3,3,3,3,33,34,35,36,37,0,0,0,0,0
239,MON_M052_B02a,5,0,4,25,70,144,7,7,7,7,7,70,71,73,75,77,0,0,0,0,0
240,MON_M070_A01a,5,0,7,42,116,240,1,1,1,1,1,24,25,26,27,28,0,0,0,0,0
241,MON_M070_A02a,5,0,6,36,101,208,3,3,3,3,3,31,32,33,34,35,0,0,0,0,0
242,MON_M070_A03a,5,0,5,31,85,176,5,5,5,5,5,45,46,47,48,50,0,0,0,0,0
243,MON_M070_A04a,5,0,6,33,93,192,4,4,4,4,4,41,42,43,44,46,0,0,0,0,0
244,MON_M071_A02a,5,0,6,36,101,208,3,3,3,3,3,34,35,36,37,38,0,0,0,0,0
245,MON_M071_A03a,5,0,6,33,93,192,4,4,4,4,4,37,38,39,40,41,0,0,0,0,0
246,MON_M071_B01a,5,0,5,31,85,176,5,5,5,5,5,22,23,24,25,26,0,0,0,0,0
