,label,ArtsName,OverAttackFirst,OverAttackLast,ArtsCategory,Weapon,WeaponSub,Attribute1,Attribute2,TargetParty,TargetType,MaxRank,Count1,Count2,Count3,Count4,Count5,Attack1,Attack2,Attack3,Attack4,Attack5,AttackCount,BP1,BP2,BP3,BP4,BP5,Turn1,Turn2,Turn3,Turn4,Turn5,Hit,Speed,AfterCasterSpeed,AfterTargetSpeed,Bump,Hate,BaseParameter1,BaseParameter2,BaseElement,EffectType1,EffectType2,EffectType3,EffectType4,EffectParam1,EffectParam2,EffectParam3,EffectParam4,AddEffect1,AddEffect2,AddEffectParam1,AddEffectParam2,Random,HitArea,SureHit,Penetration,BeforeGuard,AfterGuard,RaceSlayer,ReserveCancel,ReserveType,ReserveProb,DisableSelect,OverAttack,OverAttackLeft,OverAttackSelf,OverAttackRight,AddOverAttackDamage,AddSingleStageDamage
10,OHS_WLLSW_B04,無月散水,無月,散水,武器技,片手剣技,長剣技,斬,―,敵,単体,5.0,0,5,31,85,176,47,48,49,50,52,1,5,5,5,5,5,0,0,0,0,0,95,-2,5,3,0,27,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,2,1,0,23,14
11,OHS_WLRAP_A01,氷雪刻,氷雪,刻,武器技,片手剣技,細剣技,突,冷,敵,単体,5.0,0,7,39,109,224,25,26,27,28,29,1,2,2,2,2,2,0,0,0,0,0,98,-1,0,0,0,21,運,体,―,ヘイト消去,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,1,1,0,20,11
12,OHS_WLRAP_A02,感電衝,感電,衝,武器技,片手剣技,細剣技,突,雷,敵,単体,5.0,0,6,36,101,208,28,29,30,31,32,1,3,3,3,3,3,0,0,0,0,0,98,-2,0,0,0,22,運,体,―,マヒ,―,―,―,25.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,0,21,12
13,OHS_WLRAP_B01,円舞剣,円舞,円舞,武器技,片手剣技,細剣技,突,―,敵,全体,5.0,0,6,33,93,192,20,21,22,23,24,1,4,4,4,4,4,0,0,0,0,0,98,-3,0,0,0,20,運,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,1,1,1,22,13
14,OHS_WLRAP_B02,乱れ突き,乱れ,突き,武器技,片手剣技,細剣技,突,―,敵,単体,5.0,0,5,31,85,176,45,46,47,48,50,1,5,5,5,5,5,0,0,0,0,0,98,2,0,0,0,26,運,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,10,―,0,0,0,0,―,0,―,0,0,1,0,1,2,23,14
15,OHS_WLDAG_A01,毒蜂,毒,蜂,武器技,片手剣技,短剣技,突,―,敵,単体,5.0,0,7,39,109,224,24,25,26,27,28,1,2,2,2,2,2,0,0,0,0,0,95,1,0,0,0,5,技,体,―,毒,―,―,―,50.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,0,20,11
16,OHS_WLDAG_B01,落月破斬,落月,破斬,武器技,片手剣技,短剣技,斬,―,敵,単体,5.0,0,6,36,101,208,31,32,33,34,35,1,3,3,3,3,3,0,0,0,0,0,95,2,0,0,0,6,技,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,1,―,0,0,1,0,1,1,21,12
17,OHS_WLDAG_B02,バックスタッブ,バック,スタッブ,武器技,片手剣技,短剣技,突,―,敵,単体,5.0,0,6,33,93,192,36,37,38,39,40,1,4,4,4,4,4,0,0,0,0,0,95,-2,0,0,0,6,運,体,―,即死,―,―,―,25.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,チェイス,100,0,1,0,0,0,22,13
18,OHS_WLDAG_B03,変幻自在,変幻,自在,武器技,片手剣技,短剣技,斬,―,敵,単体,5.0,0,5,31,85,176,67,68,70,72,74,1,5,5,5,5,5,0,0,0,0,0,95,-1,0,0,0,8,技,体,―,スタン,ガード不可,―,―,50.0,100.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,突インタラプト,100,0,1,0,1,0,23,7
19,OHS_WLAXE_A01,マキ割りインパクト,マキ,インパクト,武器技,片手剣技,斧技,斬,―,敵,単体,5.0,0,6,36,101,208,34,35,36,37,38,1,3,3,3,3,3,0,0,0,0,0,94,-2,3,3,0,24,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,植物,0,―,0,0,1,0,1,0,21,12
20,OHS_WLAXE_B01,地獄断面,地獄,断面,武器技,片手剣技,斧技,斬,―,敵,単体,5.0,0,6,33,93,192,66,67,68,70,72,1,4,4,4,4,4,0,0,0,0,0,94,0,4,3,0,32,技,体,―,―,ガード不可,―,―,0.0,100.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,打インタラプト,100,0,1,0,1,0,22,6
21,OHS_WLAXE_B02,富岳八景,富岳,八景,武器技,片手剣技,斧技,斬,打,敵,単体,5.0,0,5,31,85,176,46,47,48,49,51,1,5,5,5,5,5,0,0,0,0,0,94,-3,5,3,0,26,筋,体,―,詠唱延長,―,―,―,50.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,2,1,0,23,14
22,OHS_WLAXE_B03,高速ナブラ,高速,ナブラ,武器技,片手剣技,斧技,斬,―,敵,単体,5.0,0,5,28,77,160,53,54,55,57,59,1,6,6,6,6,6,0,0,0,0,0,94,4,6,4,0,28,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,2,24,15
23,OHS_WLAXE_B03_EX1_BASE,ベースビートラッシュ,高速,ナブラ,未使用技,片手剣技,斧技,斬,―,敵,単体,5.0,0,5,28,77,160,53,54,55,57,59,1,6,6,6,6,6,0,0,0,0,0,94,4,6,4,0,28,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,2,24,15
24,OHS_WLTSW_A01,二刀双破,二刀,双破,武器技,片手剣技,二刀技,斬,突,敵,単体,5.0,0,5,31,85,176,51,52,53,55,57,1,5,5,5,5,5,0,0,0,0,0,98,-1,10,5,0,28,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,2,1,0,26,14
25,OHS_WLTSW_B01,二刀烈風剣,二刀,烈風剣,武器技,片手剣技,二刀技,斬,―,敵,乱撃,5.0,0,5,28,77,160,71,72,74,76,78,4,6,6,6,6,6,0,0,0,0,0,98,-2,12,6,0,8,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,0,―,0,0,1,3,1,0,27,15
26,OHS_WLTSW_B02,二刀荒時雨,二刀,荒時雨,武器技,片手剣技,二刀技,斬,突,敵,単体,5.0,0,5,28,77,160,90,91,93,95,98,1,6,6,6,6,6,0,0,0,0,0,98,-3,12,6,0,38,技,体,―,―,ガード不可,―,―,0.0,100.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,0,斬インタラプト,100,0,1,0,1,0,27,8
27,THS_WH000_A01,強撃,強,撃,武器技,両手剣技,汎用両手剣技,斬,打,敵,単体,5.0,0,7,39,109,224,32,33,34,35,36,1,2,2,2,2,2,0,0,0,0,0,89,0,4,3,0,40,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,1,1,0,10,24
28,THS_WH000_A02,流し斬り,流し,斬り,武器技,両手剣技,汎用両手剣技,斬,―,敵,単体,5.0,0,6,36,101,208,37,38,39,40,41,1,3,3,3,3,3,0,0,0,0,0,89,1,6,4,0,42,筋,体,―,攻撃力,―,―,―,-10.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,1,11,25
29,THS_WH000_A02_SOUL_BASE,ベース清流剣,流し,斬り,未使用技,両手剣技,汎用両手剣技,斬,―,敵,単体,5.0,0,6,36,101,208,37,38,39,40,41,1,3,3,3,3,3,0,0,0,0,0,89,1,6,4,0,42,筋,体,―,攻撃力,―,―,―,-10.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,1,11,25
30,THS_WH000_PROTECT,ディフレクト,ディフ,レクト,武器技,両手剣技,汎用両手剣技,―,―,味方,他者,3.0,0,3,36,999,999,60,60,60,60,60,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,―,―,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,プロテクト,100,1,0,0,0,0,11,25
31,THS_WH000_A04,かぶと割り,かぶ,割り,武器技,両手剣技,汎用両手剣技,斬,打,敵,単体,5.0,0,6,33,93,192,42,43,44,45,47,1,4,4,4,4,4,0,0,0,0,0,89,-1,8,4,0,46,筋,体,―,防御力,―,―,―,-10.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,2,1,0,12,26
32,THS_WH000_A04_SOUL_BASE,ベース大木斬,かぶと,割り,未使用技,両手剣技,汎用両手剣技,斬,打,敵,単体,5.0,0,6,33,93,192,42,43,44,45,47,1,4,4,4,4,4,0,0,0,0,0,89,-1,8,4,0,46,筋,体,―,防御力,―,―,―,-10.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,2,1,0,12,26
33,THS_WH000_B01,払車剣,払車,剣,武器技,両手剣技,汎用両手剣技,斬,―,敵,全体,5.0,0,5,28,77,160,32,33,34,35,36,1,6,6,6,6,6,0,0,0,0,0,89,-2,12,6,0,40,筋,集,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,1,1,1,14,28
34,THS_WH000_B01_A,払車剣・余喘,余,喘ぐ,武器技,両手剣技,汎用両手剣技,斬,―,敵,全体,5.0,0,7,39,109,224,11,12,13,14,15,1,2,2,2,2,2,0,0,0,0,0,49,-3,4,3,0,19,筋,集,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,1,1,1,20,34
35,THS_WHGSW_A01,ブルクラッシュ,ブル,クラッシュ,武器技,両手剣技,大剣技,斬,打,敵,単体,5.0,0,6,36,101,208,40,41,42,43,45,1,3,3,3,3,3,0,0,0,0,0,88,-2,6,4,1,44,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,1,1,0,11,25
36,THS_WHGSW_A01_A,ブルガード,ブル,ガード,武器技,両手剣技,大剣技,斬,打,敵,単体,5.0,0,6,33,93,192,46,47,48,49,51,1,4,4,4,4,4,0,0,0,0,0,88,-5,8,4,1,46,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,1,0,―,0,―,0,0,1,1,1,0,12,26
37,THS_WHGSW_B01,雷殺斬,雷殺,斬,武器技,両手剣技,大剣技,斬,雷,敵,単体,5.0,0,6,33,93,192,47,48,49,50,52,1,4,4,4,4,4,0,0,0,0,0,89,2,8,4,0,47,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,1,12,26
38,THS_WHGSW_B02,アプゼッツェン,アプ,ゼッツェン,武器技,両手剣技,大剣技,突,―,敵,単体,5.0,0,5,31,85,176,52,53,54,56,58,1,5,5,5,5,5,0,0,0,0,0,89,-2,10,5,0,49,筋,体,―,挑発,―,―,―,100.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,1,0,―,0,―,0,0,1,2,1,0,13,27
39,THS_WHGSW_B03,アッパースマッシュ,アッパー,スマッシュ,武器技,両手剣技,大剣技,打,―,敵,単体,5.0,0,5,28,77,160,62,63,64,66,68,1,6,6,6,6,6,0,0,0,0,0,88,1,12,6,1,52,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,1,14,28
40,THS_WHGSW_B04,ヴァンダライズ,ヴァン,ライズ,武器技,両手剣技,大剣技,打,―,敵,単体,5.0,0,4,25,70,144,68,69,71,73,75,1,7,7,7,7,7,0,0,0,0,0,89,-3,14,6,0,56,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,3,1,0,15,29
41,THS_WHSSW_A01,かすみ青眼,かすみ,青眼,武器技,両手剣技,刀技,斬,―,敵,単体,5.0,0,6,36,101,208,65,66,67,69,71,1,3,3,3,3,3,0,0,0,0,0,100,-2,6,4,0,54,技,体,―,―,ガード不可,―,―,0.0,100.0,0.0,0.0,―,―,0.0,0.0,0,―,1,0,0,0,魔族,0,カウンター,80,0,1,0,1,0,11,5
42,THS_WHSSW_B01,地走り,地,走り,武器技,両手剣技,刀技,斬,―,敵,単体,5.0,0,6,33,93,192,49,50,51,52,54,1,4,4,4,4,4,0,0,0,0,0,89,2,8,4,0,47,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対地,0,0,0,0,―,1,―,0,0,1,0,1,2,12,26
43,THS_WHSSW_B02,燕返し,燕,返し,武器技,両手剣技,刀技,斬,―,敵,単体,5.0,0,5,31,85,176,82,83,85,87,90,1,5,5,5,5,5,0,0,0,0,0,89,-3,10,5,0,63,技,体,―,スタン,ガード不可,―,―,50.0,100.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,0,斬インタラプト,100,0,1,0,1,0,13,7
44,THS_WHSSW_B03,無拍子,無,拍子,武器技,両手剣技,刀技,斬,―,敵,単体,5.0,0,5,28,77,160,62,63,64,66,68,1,6,6,6,6,6,0,0,0,0,0,89,0,12,6,0,52,運,体,―,ガード不可,―,―,―,100.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,1,0,0,0,―,0,―,0,0,1,0,0,0,14,28
45,THS_WHSSW_B04,乱れ雪月花,乱れ,雪月花,武器技,両手剣技,刀技,斬,冷,敵,単体,5.0,0,4,25,70,144,65,66,67,69,71,1,7,7,7,7,7,0,0,0,0,0,89,-2,14,6,0,54,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,1,0,―,0,―,0,0,1,2,1,2,15,29
46,THS_WHSSW_B04_EX1_BASE,ベース擾乱雪月花,乱れ,雪月花,未使用技,両手剣技,刀技,斬,冷,敵,単体,5.0,0,4,25,70,144,65,66,67,69,71,1,7,7,7,7,7,0,0,0,0,0,89,-2,14,6,0,54,筋,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,1,0,―,0,―,0,0,1,2,1,2,15,29
47,THS_WHPSW_A01,エイミング,エイ,ミング,武器技,両手剣技,薙刀技,突,―,敵,単体,5.0,0,7,39,109,224,31,32,33,34,35,1,2,2,2,2,2,0,0,0,0,0,100,-2,4,3,0,40,技,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,2,1,0,10,24
48,THS_WHPSW_A01_EX1_BASE,ベース活殺獣神衝,エイ,ミング,未使用技,両手剣技,薙刀技,突,―,敵,単体,5.0,0,7,39,109,224,31,32,33,34,35,1,2,2,2,2,2,0,0,0,0,0,100,-2,4,3,0,40,技,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,2,1,0,10,24
49,THS_WHPSW_B01,乱調子,乱,調子,武器技,両手剣技,薙刀技,斬,―,敵,単体,5.0,0,6,36,101,208,40,41,42,43,45,1,3,3,3,3,3,0,0,0,0,0,92,-1,6,4,0,44,技,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,2,1,0,11,25
50,THS_WHPSW_B02,流星衝,流星,衝,武器技,両手剣技,薙刀技,突,―,敵,単体,5.0,0,6,33,93,192,42,43,44,45,47,1,4,4,4,4,4,0,0,0,0,0,92,2,8,4,0,46,技,体,―,マヒ,―,―,―,25.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,1,―,0,0,1,0,1,2,12,26
51,THS_WHPSW_B02_A,追走二重星,追走,二重星,武器技,両手剣技,薙刀技,突,―,敵,他者,5.0,0,6,36,101,208,35,36,37,38,39,1,3,3,3,3,3,0,0,0,0,0,92,-3,6,4,0,42,運,体,―,マヒ,―,―,―,25.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,1,フォロー,100,0,1,0,0,0,11,25
52,THS_WHPSW_B03,ラウンドスライサー,ラウンド,スライサー,武器技,両手剣技,薙刀技,斬,―,敵,単体,5.0,0,5,31,85,176,54,55,56,58,60,1,5,5,5,5,5,0,0,0,0,0,92,-2,10,5,0,49,技,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,1,1,1,13,27
53,THS_WHPSW_B04,無双三段,無双,三段,武器技,両手剣技,薙刀技,斬,打,敵,単体,5.0,0,5,28,77,160,56,57,58,60,62,1,6,6,6,6,6,0,0,0,0,0,92,3,12,6,0,51,技,体,―,スタン,―,―,―,50.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,3,14,28
54,THS_WHPSW_B04_EX1_BASE,ベース三術結界,無双,三段,未使用技,両手剣技,薙刀技,斬,打,敵,単体,5.0,0,5,28,77,160,56,57,58,60,62,1,6,6,6,6,6,0,0,0,0,0,92,3,12,6,0,51,技,体,―,スタン,―,―,―,50.0,0.0,0.0,0.0,―,―,0.0,0.0,0,―,0,0,0,0,―,0,―,0,0,1,0,1,3,14,28
55,OHG_GL000_A01,精密射撃,精密,射撃,武器技,片手銃技,片手銃技,突,―,敵,単体,5.0,0,7,42,116,240,21,22,23,24,25,1,1,1,1,1,1,0,0,0,0,0,97,0,0,0,0,20,技,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,1,―,0,0,1,0,1,0,19,10
56,OHG_GL000_A02,反応威嚇,反応,威嚇,武器技,片手銃技,片手銃技,突,―,敵,単体,5.0,0,7,39,109,224,44,45,46,47,49,1,2,2,2,2,2,0,0,0,0,0,92,-1,0,0,0,26,技,体,―,―,ガード不可,―,―,0.0,100.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,0,打インタラプト,100,0,1,0,1,0,20,4
57,OHG_GL000_A04,早撃ち,早,撃ち,武器技,片手銃技,片手銃技,突,―,敵,単体,5.0,0,7,39,109,224,44,45,46,47,49,1,2,2,2,2,2,0,0,0,0,0,92,2,0,0,0,26,技,体,―,―,ガード不可,―,―,0.0,100.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,0,突インタラプト,100,0,1,0,1,0,20,4
58,OHG_GL000_A05,地上掃射,地上,掃射,武器技,片手銃技,片手銃技,突,―,敵,単体,5.0,0,7,39,109,224,27,28,29,30,31,1,2,2,2,2,2,0,0,0,0,0,92,-1,0,0,0,22,技,体,―,スタン,―,―,―,50.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対地,0,0,0,0,―,1,―,0,0,1,1,1,1,20,11
59,OHG_GL000_B01,援護射撃,援護,射撃,武器技,片手銃技,片手銃技,突,―,敵,他者,5.0,0,7,39,109,224,29,30,31,32,33,1,2,2,2,2,2,0,0,0,0,0,92,1,0,0,0,22,運,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,1,フォロー,100,0,1,0,0,0,9,11
60,OHG_GL000_B03,ギダンルプープル,ギダン,プル,未使用技,片手銃技,片手銃技,突,―,敵,単体,5.0,0,6,33,93,192,32,33,34,35,36,1,4,4,4,4,4,0,0,0,0,0,92,3,0,0,0,23,技,体,―,後続攻撃力,―,―,―,10.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,1,―,0,0,1,0,1,4,22,13
61,OHG_GL000_B04,剣よりも強し,剣よりも,強し,武器技,片手銃技,片手銃技,突,―,敵,単体,5.0,0,6,36,101,208,49,50,51,52,54,1,3,3,3,3,3,0,0,0,0,0,92,-1,0,0,0,27,技,体,―,攻撃力,ガード不可,―,―,-10.0,100.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,0,斬インタラプト,100,0,1,0,1,0,21,5
62,OHG_GL000_B05,ワンホールワン,ワン,ワン,武器技,片手銃技,片手銃技,突,―,敵,単体,5.0,0,6,36,101,208,27,28,29,30,31,1,3,3,3,3,3,0,0,0,0,0,92,2,0,0,0,22,技,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,1,0,0,―,1,―,0,0,1,0,1,0,21,12
63,OHG_GL000_B06,曲撃ち,曲,撃ち,武器技,片手銃技,片手銃技,突,―,敵,単体,5.0,0,6,33,93,192,40,41,42,43,45,1,4,4,4,4,4,0,0,0,0,0,92,3,0,0,0,25,技,体,―,詠唱延長,―,―,―,50.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,1,―,0,0,1,0,1,0,22,13
64,OHG_GL000_B08,跳弾,跳,弾,武器技,片手銃技,片手銃技,突,―,敵,単体,5.0,0,5,31,85,176,44,45,46,47,49,1,5,5,5,5,5,0,0,0,0,0,100,1,0,0,0,26,技,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,1,―,0,0,1,1,1,1,23,14
65,OHG_GLTWO_A01,スウィッチ,スイ,ッチ,武器技,片手銃技,二丁拳銃技,突,―,敵,乱撃,5.0,0,5,31,85,176,60,61,62,64,66,2,5,5,5,5,5,0,0,0,0,0,95,0,10,5,0,15,技,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,1,―,0,0,1,0,1,0,26,14
66,OHG_GLTWO_A02,二丁乱射,二丁,乱射,武器技,片手銃技,二丁拳銃技,突,―,敵,全体,5.0,0,6,33,93,192,25,26,27,28,29,1,4,4,4,4,4,0,0,0,0,0,95,1,8,4,0,21,技,体,―,―,―,―,―,0.0,0.0,0.0,0.0,―,―,0.0,0.0,0,対空,0,0,0,0,―,0,―,0,0,1,1,1,1,25,13
